barcode,title,author,category,callNumber
BHI00195,편지  : 편지를 담은 시집,"이재성,Bluecoke,온유,너에게_,울랄라,명소민,김여진,무릇,정명진,김채림,따스혀니,이충호,Lilylove,이민호,최이서,김기봉,정주람,꿈꾸는쟁이,모도,강대진,小花,보고쓰다,정오,0526,하진용,하연,시글하다,곽경아,검정양말,Ello,이지아,송해성,삼육오이사,허종주,꿈꾸라,이겸,삼칠이,삼십다시삼십일,한소영,윤태건,서지은,배우나,현정아,문병열,지서,숨이톡,황나은,목희우,시쓰는놈,스텔라,이정현,김서진,이하은,이루리,청연,다혜,님차,정지유,리시아,고태호,비온",일 반,811.7
BHI00196,보이지 않는 곳에서 애쓰고 있는 너에게,최대호 지음,일 반,814.7
BHI00197,젊은 시인에게 보내는 편지,"라이너 마리아 릴케 지음,강민경 옮김",일 반,856
BHI00198,샐러드를 좋아하는 사자  : 세번째 무라카미 라디오,"무라카미 하루키 지음,오하시 아유미 그림,권남희 옮김.",일 반,838
BHI00199,"오렌지와 빵칼  = ,Orange and bread knife  : 청예 장편소설",청예,일 반,813.7
BHI00200,그리고 아무도 없었다,"애거서 크리스티 지음,이가형 옮김",일 반,843
BHI00201,빨강의 자서전  : 시로 쓴 소설,"앤 카슨 지음,민승남 옮김",일 반,843.5
BHI00202,"당신 옆을 스쳐간 그 소녀의 이름은,전자자료  : 최진영 장편소설",최진영 지음,일 반,813.7
BHI00203,회색 인간,김동식 지음,일 반,813.7
BHI00204,"밸런스 게임 = ,Balance game",김동식 지음,일 반,813.7
BHI00205,눈사람 속의 검은 항아리,김소진 저,일 반,810.82
BHI00206,"지금,  여기는 천국이 맞을 거야,전자책  : 이종범 포토 에세이",이종범 지음,일 반,814.6
BHI00207,"새벽이 문제야,  항상","박한평 지음,김윤 그림",일 반,818
BHI00208,"비차의 캘리툰  : 토닥토닥,  참 수고했어요",박솔빛 지음,일 반,818
BHI00209,내일이 두려운 오늘의 너에게,조성용,일 반,818
BHI00210,괜찮지 않은데 괜찮은 척했다,글배우 지음,일 반,818
BHI00211,타인의 시선을 의식해 힘든 나에게,글배우 지음,일 반,818
BHI00212,작은 파티 드레스,"크리스티앙 보뱅 지음,이창실 옮김",일 반,864
BHI00213,오리엔트 특급 살인 : 애거서 크리스티 장편 소설,"애거서 크리스티 지음,신영희 옮김",일 반,843
